,Pocket Cards,Pair,Suited,Connected,Win Pct1,Win Pct2,Win Pct3,Win Pct4,Win Pct5,Win Pct6,Win Pct7,Win Pct8
63,"[(4, 'Diamond'), (5, 'Heart')]",False,False,True,44.0,24.0,23.0,21.0,10.0,11.0,8.0,9.0
64,"[(8, 'Heart'), (9, 'Club')]",False,False,True,50.0,41.0,36.0,15.0,17.0,24.0,18.0,8.0
65,"[(4, 'Club'), (12, 'Diamond')]",False,False,False,56.00000000000001,39.0,21.0,19.0,24.0,12.0,15.0,12.0
66,"[(4, 'Spade'), (7, 'Diamond')]",False,False,False,47.0,21.0,17.0,15.0,14.000000000000002,19.0,12.0,11.0
67,"[(12, 'Club'), (13, 'Diamond')]",False,False,True,57.99999999999999,47.0,31.0,30.0,35.0,22.0,23.0,20.0
68,"[(11, 'Club'), (14, 'Spade')]",False,False,False,64.0,41.0,41.0,27.0,24.0,26.0,22.0,24.0
69,"[(7, 'Spade'), (7, 'Diamond')]",True,False,False,66.0,43.0,37.0,31.0,22.0,11.0,21.0,10.0
70,"[(10, 'Spade'), (13, 'Heart')]",False,False,False,66.0,42.0,27.0,27.0,22.0,27.0,19.0,23.0
71,"[(9, 'Diamond'), (14, 'Heart')]",False,False,False,70.0,42.0,38.0,22.0,36.0,21.0,15.0,11.0
72,"[(8, 'Spade'), (12, 'Diamond')]",False,False,False,63.0,41.0,30.0,33.0,17.0,15.0,15.0,13.0
73,"[(3, 'Spade'), (11, 'Diamond')]",False,False,False,49.0,30.0,25.0,23.0,10.0,14.000000000000002,7.000000000000001,11.0
74,"[(9, 'Heart'), (13, 'Club')]",False,False,False,59.0,39.0,28.000000000000004,31.0,21.0,15.0,9.0,15.0
75,"[(8, 'Diamond'), (12, 'Diamond')]",False,True,False,54.0,46.0,38.0,31.0,31.0,19.0,15.0,17.0
76,"[(11, 'Heart'), (12, 'Heart')]",False,True,True,64.0,41.0,41.0,40.0,27.0,38.0,19.0,17.0
77,"[(6, 'Diamond'), (12, 'Heart')]",False,False,False,68.0,40.0,23.0,14.000000000000002,18.0,13.0,11.0,11.0
78,"[(6, 'Diamond'), (13, 'Diamond')]",False,True,False,53.0,47.0,26.0,28.999999999999996,34.0,20.0,20.0,12.0
79,"[(9, 'Diamond'), (10, 'Club')]",False,False,True,52.0,37.0,30.0,20.0,15.0,15.0,20.0,15.0
80,"[(5, 'Spade'), (11, 'Spade')]",False,True,False,56.00000000000001,40.0,34.0,18.0,15.0,11.0,18.0,23.0
81,"[(12, 'Heart'), (13, 'Heart')]",False,True,True,71.0,48.0,39.0,36.0,35.0,22.0,27.0,30.0
82,"[(13, 'Spade'), (13, 'Heart')]",True,False,False,89.0,75.0,47.0,59.0,46.0,47.0,30.0,34.0
83,"[(5, 'Spade'), (5, 'Heart')]",True,False,False,64.0,39.0,40.0,13.0,28.999999999999996,12.0,18.0,10.0
84,"[(5, 'Diamond'), (12, 'Club')]",False,False,False,53.0,39.0,30.0,15.0,8.0,10.0,15.0,17.0
85,"[(2, 'Diamond'), (12, 'Club')]",False,False,False,59.0,33.0,28.000000000000004,23.0,16.0,11.0,8.0,2.0
86,"[(8, 'Heart'), (10, 'Diamond')]",False,False,False,50.0,28.000000000000004,19.0,20.0,26.0,18.0,11.0,11.0
87,"[(8, 'Spade'), (10, 'Diamond')]",False,False,False,55.00000000000001,36.0,22.0,27.0,20.0,18.0,21.0,16.0
88,"[(2, 'Spade'), (6, 'Club')]",False,False,False,44.0,19.0,19.0,12.0,15.0,3.0,5.0,13.0
89,"[(7, 'Club'), (13, 'Club')]",False,True,False,56.00000000000001,37.0,31.0,25.0,21.0,10.0,22.0,15.0
90,"[(6, 'Heart'), (6, 'Diamond')]",True,False,False,72.0,48.0,30.0,23.0,23.0,21.0,18.0,21.0
91,"[(4, 'Heart'), (5, 'Heart')]",False,True,True,43.0,34.0,26.0,19.0,21.0,14.000000000000002,24.0,15.0
92,"[(8, 'Diamond'), (13, 'Club')]",False,False,False,62.0,37.0,28.999999999999996,20.0,14.000000000000002,19.0,15.0,12.0
93,"[(8, 'Heart'), (10, 'Spade')]",False,False,False,51.0,30.0,31.0,21.0,17.0,17.0,8.0,15.0
94,"[(9, 'Club'), (14, 'Heart')]",False,False,False,63.0,52.0,28.999999999999996,28.999999999999996,24.0,18.0,21.0,15.0
95,"[(8, 'Heart'), (12, 'Diamond')]",False,False,False,63.0,39.0,22.0,24.0,14.000000000000002,15.0,13.0,14.000000000000002
96,"[(2, 'Spade'), (14, 'Spade')]",False,True,True,64.0,45.0,31.0,32.0,21.0,16.0,24.0,15.0
97,"[(3, 'Diamond'), (5, 'Club')]",False,False,False,43.0,31.0,23.0,26.0,12.0,6.0,13.0,6.0
98,"[(8, 'Club'), (9, 'Spade')]",False,False,True,47.0,37.0,28.999999999999996,28.000000000000004,21.0,18.0,15.0,9.0
99,"[(10, 'Heart'), (12, 'Club')]",False,False,False,59.0,49.0,38.0,25.0,31.0,18.0,16.0,15.0
100,"[(4, 'Diamond'), (6, 'Heart')]",False,False,False,47.0,37.0,27.0,18.0,10.0,14.000000000000002,10.0,14.000000000000002
101,"[(3, 'Club'), (11, 'Spade')]",False,False,False,48.0,24.0,28.000000000000004,15.0,10.0,16.0,11.0,15.0
102,"[(11, 'Heart'), (12, 'Spade')]",False,False,True,56.00000000000001,43.0,30.0,31.0,24.0,19.0,19.0,18.0
103,"[(3, 'Diamond'), (10, 'Heart')]",False,False,False,42.0,26.0,28.999999999999996,14.000000000000002,18.0,8.0,9.0,8.0
104,"[(3, 'Diamond'), (8, 'Diamond')]",False,True,False,48.0,25.0,27.0,20.0,11.0,10.0,10.0,3.0
105,"[(13, 'Heart'), (14, 'Heart')]",False,True,True,72.0,64.0,44.0,41.0,40.0,22.0,24.0,19.0
106,"[(9, 'Spade'), (11, 'Heart')]",False,False,False,54.0,34.0,37.0,30.0,20.0,19.0,16.0,10.0
107,"[(10, 'Heart'), (13, 'Spade')]",False,False,False,62.0,42.0,38.0,31.0,24.0,28.000000000000004,23.0,14.000000000000002
108,"[(11, 'Spade'), (12, 'Club')]",False,False,True,55.00000000000001,36.0,30.0,26.0,23.0,23.0,17.0,10.0
109,"[(10, 'Club'), (13, 'Spade')]",False,False,False,56.99999999999999,37.0,41.0,34.0,22.0,26.0,21.0,12.0
110,"[(7, 'Diamond'), (13, 'Club')]",False,False,False,52.0,43.0,33.0,21.0,23.0,21.0,22.0,21.0
111,"[(3, 'Spade'), (6, 'Diamond')]",False,False,False,41.0,24.0,20.0,14.000000000000002,7.000000000000001,11.0,7.000000000000001,8.0
112,"[(6, 'Heart'), (12, 'Heart')]",False,True,False,55.00000000000001,30.0,28.999999999999996,17.0,12.0,16.0,13.0,12.0
113,"[(2, 'Heart'), (11, 'Spade')]",False,False,False,56.00000000000001,28.999999999999996,21.0,20.0,10.0,15.0,9.0,7.000000000000001
114,"[(2, 'Spade'), (12, 'Spade')]",False,True,False,43.0,35.0,25.0,16.0,22.0,17.0,21.0,17.0
115,"[(5, 'Club'), (9, 'Spade')]",False,False,False,49.0,35.0,19.0,19.0,12.0,14.000000000000002,14.000000000000002,12.0
116,"[(5, 'Club'), (8, 'Heart')]",False,False,False,44.0,31.0,22.0,19.0,15.0,18.0,13.0,9.0
117,"[(4, 'Club'), (13, 'Club')]",False,True,False,49.0,39.0,36.0,27.0,30.0,15.0,14.000000000000002,17.0
118,"[(4, 'Diamond'), (13, 'Diamond')]",False,True,False,67.0,38.0,28.999999999999996,22.0,15.0,20.0,18.0,16.0
119,"[(8, 'Heart'), (13, 'Spade')]",False,False,False,52.0,44.0,30.0,18.0,20.0,20.0,15.0,11.0
120,"[(12, 'Spade'), (13, 'Spade')]",False,True,True,69.0,51.0,40.0,28.000000000000004,37.0,28.000000000000004,27.0,9.0
121,"[(2, 'Spade'), (2, 'Diamond')]",True,False,False,49.0,28.999999999999996,21.0,11.0,15.0,17.0,14.000000000000002,7.000000000000001
122,"[(4, 'Club'), (7, 'Club')]",False,True,False,56.00000000000001,35.0,24.0,18.0,23.0,16.0,17.0,14.000000000000002
123,"[(12, 'Heart'), (12, 'Club')]",True,False,False,74.0,64.0,60.0,51.0,32.0,33.0,25.0,31.0
124,"[(4, 'Spade'), (9, 'Spade')]",False,True,False,53.0,27.0,24.0,18.0,16.0,15.0,14.000000000000002,16.0
125,"[(3, 'Spade'), (3, 'Heart')]",True,False,False,60.0,36.0,21.0,17.0,17.0,19.0,17.0,19.0
126,"[(3, 'Diamond'), (6, 'Club')]",False,False,False,53.0,25.0,18.0,13.0,9.0,11.0,9.0,11.0
127,"[(6, 'Spade'), (10, 'Diamond')]",False,False,False,46.0,31.0,20.0,17.0,22.0,13.0,9.0,12.0
128,"[(6, 'Diamond'), (11, 'Diamond')]",False,True,False,60.0,38.0,25.0,13.0,17.0,23.0,15.0,14.000000000000002
129,"[(4, 'Heart'), (14, 'Spade')]",False,False,False,70.0,31.0,30.0,21.0,23.0,22.0,13.0,14.000000000000002
130,"[(2, 'Heart'), (4, 'Heart')]",False,True,False,38.0,32.0,24.0,13.0,7.000000000000001,17.0,12.0,18.0
131,"[(5, 'Club'), (14, 'Heart')]",False,False,False,71.0,46.0,33.0,35.0,23.0,16.0,15.0,22.0
132,"[(12, 'Diamond'), (13, 'Heart')]",False,False,True,72.0,47.0,30.0,36.0,27.0,28.000000000000004,18.0,19.0
133,"[(5, 'Diamond'), (13, 'Diamond')]",False,True,False,54.0,37.0,32.0,28.000000000000004,28.999999999999996,26.0,14.000000000000002,14.000000000000002
134,"[(8, 'Heart'), (12, 'Heart')]",False,True,False,55.00000000000001,45.0,30.0,28.999999999999996,20.0,17.0,15.0,16.0
