pocket_cards,pair,suited,connected,win_pct1,win_pct2,win_pct3,win_pct4,win_pct5,win_pct6,win_pct7,win_pct8
8d_Ad,FALSE,TRUE,FALSE,62.4,46.9,37,30.8,22.1,20.2,19.4,18.6
9s_Jd,FALSE,FALSE,FALSE,54.7,37.7,29.5,26.9,19.9,18.9,15.3,14
4c_6c,FALSE,TRUE,FALSE,45.5,30.5,24.5,21.1,18.4,16.1,14.5,13.3
2s_Tc,FALSE,FALSE,FALSE,45.5,29.9,20.4,14,12.5,10.3,10.4,7
Jd_Ac,FALSE,FALSE,FALSE,64.4,44.7,35.7,31.6,26.2,23.3,19.6,17.9
8c_9h,FALSE,FALSE,TRUE,51.5,35.5,29.7,20.9,18.6,16.7,14.1,13.6
4d_5s,FALSE,FALSE,TRUE,43.4,30.8,21.8,16.7,11.3,14.6,10,11.8
9d_Jh,FALSE,FALSE,FALSE,53.9,38.1,31.4,24.6,20.9,18.8,16.6,14.4
5h_Qd,FALSE,FALSE,FALSE,53.2,34.4,25.4,18,16.9,14.8,12.2,11.2
5s_Ts,FALSE,TRUE,FALSE,51.1,33.8,24.9,22.2,17.9,16.9,13.3,11
8d_Tc,FALSE,FALSE,FALSE,52.5,35.7,27.5,23.2,19.2,15.1,16.6,12.6
5d_Jd,FALSE,TRUE,FALSE,53.7,35.4,25.2,20.8,22.6,16.2,16.8,16.2
4h_Kd,FALSE,FALSE,FALSE,56.6,37.1,29.4,20.5,16.2,15.4,12.4,11.3
4h_Kh,FALSE,TRUE,FALSE,56,41.2,30.3,24.6,20.3,17.8,16.3,16.6
6d_Ad,FALSE,TRUE,FALSE,62.9,43.7,35.1,30,23.6,19.2,20.9,16.5
5h_Jc,FALSE,FALSE,FALSE,50.9,32.6,22.4,19.4,16.6,13.3,12.1,12.2
2c_As,FALSE,FALSE,TRUE,57.4,40.9,30.2,23.1,21.9,18.1,15.6,14.5
3s_Kc,FALSE,FALSE,FALSE,50.5,36.4,26.2,19.8,17.5,14.2,13.1,10.2
Th_Jc,FALSE,FALSE,TRUE,60.2,39,32,25.1,21.7,20,16.1,17.7
6s_Ad,FALSE,FALSE,FALSE,62.3,41.4,31.6,22.3,21.7,18.3,16.4,12.8
Qs_As,FALSE,TRUE,FALSE,65.5,50.1,43.4,34,31.5,27.1,22.6,21.4
2s_Ad,FALSE,FALSE,TRUE,54.4,38.4,27,23.6,18.2,16.3,15.6,13.3
Qh_Kd,FALSE,FALSE,TRUE,64.5,43.3,39.8,30.7,26.2,21.6,22.7,17.6
Jc_Js,TRUE,FALSE,FALSE,79.2,59.5,49.8,40.9,36.1,31.2,25.8,21.4
8s_Kh,FALSE,FALSE,FALSE,58.4,39,29.3,24,19.8,16.7,14.7,13
5d_6h,FALSE,FALSE,TRUE,45.8,30.3,24.1,17.3,13.9,11.5,11.2,10.3
4d_Qs,FALSE,FALSE,FALSE,49.6,32.2,23.6,16.8,17,14.1,12,11.4
5s_Td,FALSE,FALSE,FALSE,47.5,29.9,20.9,16,13.1,13.8,10.1,8.5
4h_6d,FALSE,FALSE,FALSE,44.1,28,22.4,16.4,13.9,13.5,10,10.5
4h_6c,FALSE,FALSE,FALSE,43.4,30.8,20.6,14.6,14.6,11.8,11.6,10.6
5s_9d,FALSE,FALSE,FALSE,44,30.3,21.9,17.7,14.8,13.2,10.6,10.1
2s_Kh,FALSE,FALSE,FALSE,54,35.8,24.5,20.1,14.6,15.2,12.5,10.4
9h_Qh,FALSE,TRUE,FALSE,59.7,40.2,34.6,28.3,21.7,20.5,21.5,18.5
8c_Ad,FALSE,FALSE,FALSE,61.4,40.4,29.8,24.9,21.2,20,15.6,14.3
5h_6s,FALSE,FALSE,TRUE,46.9,28.7,22.1,17.5,17.3,10.7,11.5,10.1
7c_7h,TRUE,FALSE,FALSE,63.8,48,34.8,28.2,21.8,19,15.5,18.8
6c_Qs,FALSE,FALSE,FALSE,55.7,34.7,24.6,21.8,14.3,13.8,12.7,11.6
3h_Jh,FALSE,TRUE,FALSE,50.3,31.3,26.7,21.4,17.1,14.9,14.2,13.3
3d_Js,FALSE,FALSE,FALSE,46.6,29.7,24.5,16.1,15.5,12.8,9.6,10.8
3h_9d,FALSE,FALSE,FALSE,45.9,28.6,19.4,14.3,14.1,11.4,8,6.8
3c_5d,FALSE,FALSE,FALSE,41.2,30.1,18.4,14.6,13.1,12.1,11.2,10.6
6h_Td,FALSE,FALSE,FALSE,49.4,32.8,24.8,18.6,14.7,13.5,12.3,10.3
3h_Ks,FALSE,FALSE,FALSE,53.2,34.8,24,21.3,17.5,15.2,13.8,8.2
5d_Qh,FALSE,FALSE,FALSE,50.5,32.4,26.3,19.9,16.7,14,10.6,11.2
3d_5d,FALSE,TRUE,FALSE,43.8,29.6,23.4,20.7,18.5,16.1,14.1,12.2
6s_8h,FALSE,FALSE,FALSE,49.2,33,24.7,18.4,15.9,11.9,12.4,12.4
Th_Ts,TRUE,FALSE,FALSE,73.7,58.5,48.9,37.6,29.5,23.6,21.8,20.2
2c_Ah,FALSE,FALSE,TRUE,60.2,38.6,29.1,21.4,19.7,16.7,15.3,12.7
5s_Kd,FALSE,FALSE,FALSE,54.5,37.1,27.1,21.8,18.1,13.4,14.3,14
Qh_Qs,TRUE,FALSE,FALSE,81.7,61.9,56.4,44.7,40.3,33.9,28.9,24.8
2h_7h,FALSE,TRUE,FALSE,43.5,26.2,22.3,18.8,14.6,11.8,11,10.7
8d_Jd,FALSE,TRUE,FALSE,54.4,39,30.4,25.7,21.1,18.8,18.3,15.9
2s_4c,FALSE,FALSE,FALSE,36.9,23.8,16,12.3,9.7,8.8,8,8.6
7c_8d,FALSE,FALSE,TRUE,50.4,33.3,25,22.1,17.7,17.4,13.6,10
4c_Js,FALSE,FALSE,FALSE,46.8,31.2,19.8,18.3,15.4,11,11.6,9.4
6h_Qs,FALSE,FALSE,FALSE,50.6,38.6,26.1,18.2,17.1,14.7,12.1,11.4
4c_Qh,FALSE,FALSE,FALSE,53,33.6,23.9,19.4,15,12.4,12.1,10.3
Th_Qd,FALSE,FALSE,FALSE,57.8,41.5,32.3,30,21.7,22,16.8,16.1
4d_Jh,FALSE,FALSE,FALSE,49.6,30.5,24.3,18.1,15.8,11.7,10,9.7
2h_5c,FALSE,FALSE,FALSE,38.3,24.7,17.6,12.2,13,10.9,8.8,8.3
4d_Ah,FALSE,FALSE,FALSE,59.8,41.6,30.9,24.5,21.3,19.2,15.8,13.9
Jc_Ac,FALSE,TRUE,FALSE,66.3,49.7,39.4,34.8,29.7,25,22.5,21.3
5s_6s,FALSE,TRUE,TRUE,47.9,33.3,25.4,23.1,17.7,15.9,19.4,12.8
Qs_Kd,FALSE,FALSE,TRUE,62.9,46.1,38.2,30.3,27.4,22.9,21.4,17.9
4h_7h,FALSE,TRUE,FALSE,46.9,32,24.3,21,16.6,12.9,12.3,14.5
4d_9h,FALSE,FALSE,FALSE,43,28.5,18,15.7,13.2,10.9,10.3,9.3
5h_Kc,FALSE,FALSE,FALSE,55.8,34.5,25.9,21.5,17.7,15.2,14.1,11.3
3d_9s,FALSE,FALSE,FALSE,43.2,26.1,18.8,16.2,11.6,10,8.3,8.1
9d_Ac,FALSE,FALSE,FALSE,63.9,43.4,33.1,28.2,22.7,19.1,18,16.5
Jd_Ks,FALSE,FALSE,FALSE,58.5,42.4,35.4,29.9,25.7,22.3,19.6,19
